"","GreennessIndex","PlantBiomassLog","VerticalWaterDistanceLog","SoilMoistureAvrg","pHLog","ECLog","SalinityAdjustedLog","BulkDensityIncRootsLog","ShannonIndex","SpeciesRichness"
"s1t1p1",0.396047,3.11351530921037,1.38629436111989,76.2,2.14241634084122,6.19644412779452,8.34640487043596,0.27763173659828,0.206192050633232,2
"s1t1p2",0.4055816,2.58021682959233,3.72569342723665,51,2.21266038546606,6.03260649043916,8.28174930013919,0.288931291852213,1.17158494348664,5
"s1t1p3",0.36428,2.70805020110221,2.74727091425549,63.67,2.30657711426358,6.68160721864763,8.93177660116893,0.309688152714396,0.936002704317965,5
"s1t1p4",0.3674504,2.60268968544438,3.30321697330195,53.93,2.31648799816304,6.37349042348238,8.52374368997779,0.650761464063507,0.778132548171026,3
"s1t1p5",0.3773705,2.55722731136763,3.85014760171006,55.03,2.29051251175978,8.34069464792507,10.4922459673585,0.46436274935565,1.31663135618409,6
"s1t1p6",0.4022786,2.82137888640921,2.2512917986065,83.77,2.05796251000271,6.17649077630906,8.3264151793811,0.133656384812674,1.28861776688634,6
"s1t2p1",0.3896041,2.88480071284671,4.89034912822175,58.13,2.2060741926132,6.4723462945009,8.62274168940428,0.476855104194837,1.53790736678427,7
"s1t2p2",0.4132894,3.04927304048202,2.484906649788,72.93,2.14593128294867,6.40092167648568,8.55121580243061,0.330741561912228,0.184809736791511,4
"s1t2p3",0.40672,2.96010509591084,1.87180217690159,84.27,2.1150499691472,5.61677109766657,7.76531459579247,0.187309098304994,0.941258695278677,4
"s1t2p4",0.4306302,2.79116510781272,2.89037175789616,61.57,2.09679018001445,6.20738205333045,8.35736241031378,0.192271887647123,1.69642368287221,8
"s1t2p6",0.4237505,2.50959926237837,2.70805020110221,70,2.16561923792089,6.24978217342985,8.39983656483458,0.23031775506221,1.52349955693677,6
"s1t3p1",0.3702259,2.87919845729804,4.61512051684126,39.27,2.29455292129678,7.4599147662411,9.71069132744815,0.512823626428664,1.58755027530764,7
"s1t3p2",0.3749296,2.35137525716348,3.04452243772342,62.87,2.2170272046324,6.21019838993349,8.45969118914478,0.355574338494699,0.83132537270061,6
"s1t3p3",0.437035,3.31418600467253,1.38629436111989,100,2.09556092355972,6.09244046444798,8.24220356137842,0.182321556793955,1.03296988524382,6
"s1t3p4",0.4256536,2.98568193770049,1.94591014905531,94.6,2.08567209143047,5.95402225163211,8.10348822875589,0.254642218373581,1.39232125475743,5
"s1t3p5",0.3844558,2.52572864430826,3.55534806148941,44.1,2.20276475771183,5.95739056677423,8.10686427414187,0.474991170756775,1.24541239592601,5
"s1t3p6",0.3655788,2.54160199346455,3.04452243772342,45.37,2.17247640764703,6.56286773275958,8.7133814923046,0.420025259439494,1.19327798083538,6
"s1t4p1",0.4592444,2.96010509591084,3.71357206670431,67.83,2.11384296839717,6.00709180299368,8.15667659204532,0.219135529916671,0.144765317042711,3
"s1t4p2",0.4391027,2.70136121295141,2.89037175789616,72.5,2.14006616349627,6.30991827822652,8.55958195790802,0.258510695151501,0.500402423538188,2
"s1t4p3",0.3711401,2.33214389523559,2.484906649788,78.33,2.1150499691472,6.55350596225824,8.70400797187807,0.226338442210729,1.10253018769221,4
"s1t4p4",0.4147885,3.35689712276558,1.38629436111989,100,2.05796251000271,6.09897275482327,8.24874888087186,0.0971267107307228,0,1
"s1t4p5",0.3850219,2.484906649788,3.68887945411394,42.13,2.16447179086441,8.19726337141434,10.3487821628069,0.238229188732251,0.891674456298225,4
"s1t4p6",0.3448725,2.43361335540045,4.18205014264121,16.33,2.32434658477556,6.85561952456161,9.00645027758386,0.63710578967632,0.980261027270842,4
"s1t5p1",0.3873825,2.50959926237837,3.06805293513362,65.3,2.14358936150359,5.61385776712821,7.86188114915931,0.326421900767712,0.594024165582471,3
"s1t5p2",0.4568627,3.36729582998647,3.3322045101752,60.13,2.17588743994809,6.59167373200866,8.74222296269856,0.291175961706037,0.282738880066872,2
"s1t5p3",0.4080689,2.62466859216316,2.484906649788,100,2.10291389786498,5.88443597434946,8.1332351395925,0.160416721405905,0.685314207276458,2
"s1t5p4",0.3493782,2.2512917986065,3.94158180766969,45.4,2.11986345617875,6.85940501804109,9.10975731495646,0.246078522596706,0,1
"s1t5p5",0.3644625,2.28238238567653,3.55534806148941,43.5,2.17815501461587,6.82459103772137,8.975392422087,0.327143141332695,1.07409842215311,5
"s1t5p6",0.4133539,2.63905732961526,3.17805383034795,68.5,2.13416644136908,5.81770622097452,7.96683640631291,0.299363577225619,0.815849865184519,3
"s2t1p1",0.4174952,2.60268968544438,4.46014441393783,55.63,2.22462355152433,7.1777824161952,9.42839097622438,0.363253259298855,0.119976647825488,3
"s2t1p2",0.4089838,3.12236492448736,2.14006616349627,73.4,2.15176220325946,5.53733426701854,7.68561118746904,0.22314355131421,0.108446415937116,3
"s2t1p3",0.4330921,3.15700042115011,2.77258872223978,100,2.10291389786498,6.48249554354579,8.63290474971075,0.167207918983906,0.525568899263348,4
"s2t1p4",0.4099486,2.82137888640921,2.484906649788,59,2.31648799816304,7.18538701558042,9.43600075341467,0.375005900623456,0.798225159570753,4
"s2t1p5",0.4104987,3.25424296870549,1.38629436111989,90.23,2.14943391349987,6.48737955813822,8.63779536068974,0.395414772254663,0.313495627924541,3
"s2t1p6",0.3315222,2.484906649788,4.40671924726425,36.4,2.29253475714054,8.62712325078843,10.7787270969607,0.662687973075237,0,1
"s2t2p1",0.4132608,2.94443897916644,3.98898404656427,51.3,2.19611284848353,6.32022858028588,8.47039923350068,0.51581316527703,0.702974707656593,6
"s2t2p2",0.3730251,3.32862668882732,2.19722457733622,64.8,2.19277022698684,6.35454393871971,8.50476832141492,0.211880359035499,1.03349206069237,3
"s2t2p3",0.3974722,3.07269331469012,2.19722457733622,74.2,2.15176220325946,5.53180720991639,7.68006477978831,0.199670195128568,0.902735235309711,4
"s2t2p4",0.4187389,3.40119738166216,2.83321334405622,72.87,2.089391872533,6.13361493921266,8.28345875413723,0.191446464570955,0.692012964831874,2
"s2t2p5",0.3977102,3.32503602069659,1.38629436111989,77.7,2.16561923792089,5.33993904123886,7.5869303019752,0.188966099512623,0.0579075174881343,2
"s2t2p6",0.3845964,3.19458313229916,2.484906649788,49.27,2.2353763433006,5.60322521966489,7.75172474927649,0.630207380786071,0.708581534243736,3
"s2t3p1",0.468683,2.62466859216316,4.85981240436167,50.5,2.23857976301813,6.20192804526482,8.45140589087814,0.511025603768657,1.23799649530242,5
"s2t3p2",0.4320269,2.51769647261099,1.79175946922805,53.5,2.27006190128849,5.09681299033731,7.24315551264201,0.38117241553912,1.25115598336363,4
"s2t3p3",0.404721,2.63188884013665,2.63905732961526,63.53,2.17133680638409,6.42681202969802,8.67665545406411,0.275356422761144,0.730588061371122,3
"s2t3p4",0.4452833,3.25037449192757,1.38629436111989,100,2.09679018001445,6.04973345523196,8.19940923594791,0.182321556793955,0.501046913759097,3
"s2t3p5",0.3413401,2.39789527279837,1.38629436111989,41.43,2.19611284848353,6.7208231096305,8.87151937918548,0.751416088683921,0.271189373041844,2
"s2t3p6",0.3593229,2.46809953147162,2.99573227355399,77.8,2.24495598015741,6.95844839329766,9.5822349081116,0.546385799164541,0.873900414269067,3
"s2t4p1",0.3212296,3.29953372788566,2.99573227355399,61.67,2.29656702066848,7.35946763825562,9.51066716196104,0.750944279286162,0.658109987543114,2
"s2t4p2",0.3820985,3.15273602236366,3.79548918917219,46.13,2.22462355152433,5.68153686570888,8.51153722656008,0.739076112448345,0.479783002167653,3
"s2t4p3",0.3571304,3.29583686600433,0,100,2.12823170584927,5.77455154554441,8.02306079059191,0.247641022914597,0.183349468089932,2
"s2t4p4",0.4056583,2.89037175789616,3.25809653802148,62.77,2.13888900032326,5.64791734181481,8.26931115145937,0.350656871613169,1.0079710985857,4
"s2t4p5",0.3657514,2.82731362192903,2.77258872223978,47.2,2.26384426467762,6.89487265315112,9.14525770281693,0.38117241553912,0.698304630295462,4
"s2t5p1",0.4266978,2.91235066461494,2.60268968544438,67.67,2.17475172148416,5.77888994714301,8.40068634108884,0.369492447649347,0.282738880066872,2
"s2t5p2",0.4029183,3.28091121578765,2.07944154167984,80.5,2.04251818757524,6.24494329821826,8.39498939859622,0.185649346886629,0.688138813713588,2
"s2t5p3",0.391398,3.57515068878559,1.94591014905531,74.07,2.13298230860787,6.18229149694565,8.43173333746475,0.24059046491793,0.714288686369108,3
"s2t5p4",0.3924437,3.16124671203156,1.09861228866811,93.73,2.12465388450138,5.62798076123992,7.87605005260309,0.157003748809665,0.0860148849495248,4
"s2t5p5",0.3417598,2.47653840011748,1.6094379124341,51.33,2.25967759198277,6.02779647635537,8.85873825375817,0.715886667529435,0.247901806070712,2
"s2t5p6",0.3403152,2.45958884180371,3.91202300542815,21.37,2.32336763217657,6.88816462921713,9.72041771585059,0.878796527446575,0.494702412787741,3
"s3t1p1",0.3547041,2.56494935746154,5.30330490805908,15.47,2.24389609664537,6.44619589651906,9.06939182586519,0.691646054433678,0.686961576597323,2
"s3t1p2",0.3892067,2.73436750941958,4.45434729625351,41.33,2.20497226412705,7.3185395485679,9.46971555821243,0.630207380786071,1.64478218627111,6
"s3t1p3",0.3747159,2.69462718077007,2.39789527279837,55.07,2.16905370036952,5.73463493813897,7.98303070228581,0.672944473242426,1.25505834771896,6
"s3t1p4",0.3412874,2.53369681395743,4.24849524204936,32.9,2.25967759198277,7.16857989726403,9.41918213857953,0.798857634982059,0.927649013055109,3
"s3t1p5",0.3738119,2.484906649788,4.35670882668959,26.23,2.26176309847379,6.76952715969869,9.0197910598436,0.663203304186873,1.54640379192738,6
"s3t1p6",0.3814338,2.57261223020711,2.63905732961526,57.83,2.16905370036952,6.37417266809353,8.99725853145078,0.454255272277596,0.964942040916715,5
"s3t2p1",0.3426066,2.53369681395743,5.18178355029209,14.03,2.21920348405499,7.26473017792987,9.51539565248531,0.51581316527703,0.741830412456956,3
"s3t2p2",0.3602384,3.1904763503465,4.46590811865458,55.47,2.2060741926132,8.08671792030391,10.2382082561185,0.561328605939098,0.729871209983116,3
"s3t2p3",0.3459921,2.45958884180371,1.79175946922805,47.2,2.16561923792089,6.01737592889248,8.16698302001767,0.720275847948198,1.14252727871619,4
"s3t2p4",0.3515349,2.54944517092557,3.65065824129374,46.13,2.21156569460688,7.26752542782817,9.51819265121735,0.621113977660114,1.2251824655762,5
"s3t2p5",0.4060404,2.54944517092557,2.30258509299405,61.2,2.16561923792089,6.54117428892394,8.69166065205439,0.524728528934982,1.50939301534609,6
"s3t2p6",0.3707475,2.58776403522771,1.6094379124341,61.4,2.10535292346434,6.42032060800672,9.04347790531675,0.366031038862757,0.691502198054099,3
"s3t3p1",0.3500889,2.36085400111802,4.44265125649032,27.33,2.23108909128898,5.99071426571728,8.14026306064885,0.782530741694631,1.06371555298429,3
"s3t3p2",0.3843608,2.69462718077007,4.44265125649032,40.33,2.27109442590267,6.81968880011369,9.07000301408126,0.556181325486788,1.65432197070638,6
"s3t3p3",0.3838025,2.58021682959233,3.89182029811063,43.47,2.18829594659192,5.52942908751142,7.77716402495616,0.56531380905006,1.57805163067824,6
"s3t3p4",0.3401774,2.45958884180371,2.63905732961526,15.93,2.2690283094652,6.75472064281308,9.00496920212862,0.725614370697447,0.470235962355249,3
"s3t3p5",0.402751,2.46809953147162,2.56494935746154,58.03,2.15176220325946,6.68773185500417,9.31124397031705,0.537077994910056,0.963551180018119,4
"s3t3p6",0.4144648,2.46809953147162,2.94443897916644,62.33,2.14358936150359,6.91174730025167,9.53549162454244,0.461215123212656,1.09603496975765,4
"s3t4p1",0.4030614,2.61006979274201,3.66356164612965,51.07,2.22462355152433,5.62148723192937,7.77004589844528,0.60431596685333,1.65841008377077,7
"s3t4p2",0.3529714,2.64617479738412,3.85014760171006,28.13,2.18380155700408,5.99620330145516,8.24526635090896,0.453620149995211,0.579367146711296,4
"s3t4p3",0.4227284,2.96527306606928,2.07944154167984,70.47,2.12226153886276,5.78136060930158,7.93039323955266,0.494696241836107,0.64110707656534,5
"s3t4p4",0.4222856,2.81540871942271,2.56494935746154,77.77,2.12704052047911,5.84383423010396,8.09252997325452,0.315540400580177,0,1
"s3t4p5",0.3655458,2.37024374146786,3.93182563272433,21,2.15292431843964,6.13013894179574,8.37948164554075,0.378436435720245,0.438640292037925,3
"s3t4p6",0.3633392,2.37954613413017,2.70805020110221,10.13,2.16561923792089,5.74300318780948,7.99142312026442,0.504405055963068,0.136863993282248,2
"s3t5p1",0.3931825,2.50959926237837,2.63905732961526,60.77,2.17133680638409,6.13815892625879,8.76082305782748,0.532978428407124,1.53519084913132,5
"s3t5p2",0.34696,2.91235066461494,3.93182563272433,46.57,2.31944221006047,7.04838640872188,9.67224882350756,0.821980052402914,0.682908104700472,2
"s3t5p4",0.4046649,3.02042488614436,2.484906649788,49.8,2.21046980408624,6.71186204215809,8.96206489283679,0.567016903415733,1.09895405283888,4
"s3t5p5",0.3439492,2.43361335540045,4.07753744390572,24.57,2.26072088889535,6.61780396708631,9.24123226583864,0.670390193437329,0.983891863803136,3
"s3t5p6",0.3404732,2.61739583283408,3.87120101090789,20.2,2.27315628230323,6.34633786910009,8.969379022289,0.806475865866949,1.19168922344041,4
