"","Argentina anserina","Astragalus tribulifolius","Gentiana leucomelaena","Glaux maritima","Halerpestes lancifolia","Halerpestes sarmentosa","Knorringia pamirica","Lomatogonium brachyantherum","Pedicularis longiflora var. tubiformis","Pedicularis rhinanthoides","Primula involucrata","Primula pamirica","Suaeda olufsenii","Taraxacum spp.","Blysmus compressus","Carex microglochin","Carex moorcroftii","Carex orbicularis","Carex pseudofoetida","Triglochin maritima","Triglochin palustris","Calamagrostis holciformis","Festuca olgae","Hordeum brevisubulatum subsp. turkes.","Poa tibetica","Puccinellia himalaica","Puccinellia ladakhensis","Poaceae unknown"
"s1t1p1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,5,0,0,0,0,0,0,0
"s1t1p2",0,0,0,0,30,0,0,0,0,0,0,0,0,0,40,0,0,50,0,0,0.1,0,0,0,0,0,0,3
"s1t1p3",0,0,0,0,10,0,0,0,0,0,0,0,0,0,75,0,0,5,0,0,0.1,20,0,0,0,0,0,0
"s1t1p4",0,0,0,0,25,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
"s1t1p5",0,0,0.1,0,15,0,0,0,0,0,0,0,0,0.1,0,0,0,30,0,0,0,40,0,0,0,0,0,50.1
"s1t1p6",0,0,0,0,0,0,0,0,10,25,0,2,0,0.1,0,5,5,0,0,0,0,0,0,0,0,0,0,0
"s1t2p1",0,0,15,10,5,0,0,0,0,0,0,0,0,0,50,0,0,0,0,30,0,0,0,2,0,0,0,6
"s1t2p2",0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,95,0,0,0,0,4,0.1,0,0,0,0,0,0,0
"s1t2p3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,10,0,0,0.5,0,0,0,0,0,0,0,40
"s1t2p4",0,0,5,0,0,15,0,0,10,0,0.1,0,0,0,0,10,0,30,0,0,5,3,0,0,0,0,0,0
"s1t2p6",0,0,3,0,20,0,0,0,0,0,0,0,0,10,0,20,0,55,0,0,0,0,0,0,0,0,0,40
"s1t3p1",0,0,4,0.2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,35,0,31
"s1t3p2",0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,70.5,0,0.1,0,0,0,0,0,0,1
"s1t3p3",0,0,0,0,0,3,0,0,0.1,0,0,0,0,0,2,5,0,30,0,55,0,0,0,0,0,0,0,0
"s1t3p4",0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,15,0,30,0,0,0,0,0,0,0,0,0,40
"s1t3p5",0,0,3,0,25,0,0,0,0,0,0,0,0,2,0,0,0,0,30,0,10,0,0,0,0,0,0,0
"s1t3p6",0,0,0,5,15,0,0,0,0,0,0,0,0,0.5,0,0,0,0,15,0,0,0,0,0,0.5,0,0,44
"s1t4p1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,3,0,0,0.1,0,0,0,0,0,0,0
"s1t4p2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,60,0,0,0,0,0,0,0,0
"s1t4p3",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,45
"s1t4p4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
"s1t4p5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,65,0,0,0,0,0,0,0,0,0,15
"s1t4p6",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,1
"s1t5p1",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,85,0,0,0,0,0,0,0,0,0
"s1t5p2",8,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
"s1t5p3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,45,0,0,0,0,0,0,0,0,0,0
"s1t5p4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
"s1t5p5",10,0,0,0,1,0,0,0,0,0,0,0,0,0,55,0,0,3,0,0,0,40,0,0,0,0,0,0
"s1t5p6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,75,0,25,0,0,0,0,0,0,0,0,0,0
"s2t1p1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0.2,0,0,0
"s2t1p2",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,95,0,0,0,0.1,0,0,0,0,0,0
"s2t1p3",0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,85,0,0,0,0,10,5,0,0,0,0,0,0,0
"s2t1p4",0,0,0,0,45,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0,0,55
"s2t1p5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,7,0,0,0,0,0,0,1
"s2t1p6",0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s2t2p1",0,0,0,8,13,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0.2,0.5,0,0,0,0,0,0,0.2
"s2t2p2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,50,20,0,0,0,0,0,0,0
"s2t2p3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,4,55,0,0,0,0,0,0,2
"s2t2p4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,50,0,0,0,0,0,0,0,0,0,0
"s2t2p5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,1,0,0,0,0,0,0,0
"s2t2p6",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,30
"s2t3p1",45,0,0,5,10,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,4,0,0
"s2t3p2",20,0,0,0,25,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,5,0,0,0,0,0,0
"s2t3p3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,10,15,0,0,0,0,0,0,0
"s2t3p4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,10,5,0,0,0,0,0,0,0
"s2t3p5",0,0,0,5,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
"s2t3p6",0,0,0,10,20,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
"s2t4p1",0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
"s2t4p2",0,0,0,0,0,5,0,0,0,0,0,0,0,0,85,0,0,0,0,0,8,0,0,0,0,0,0,0
"s2t4p3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,4,0,0,0,0,0,0,0
"s2t4p4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10,0,45,0,0,1,0,0,0,0,0,0,0
"s2t4p5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,2,0,0,0,8,4,0,0,0,0,0,0,0
"s2t5p1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,90,0,0,0,0,0,0,0,0,0
"s2t5p2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,45,0,0,0,0,0,0,0,0,0
"s2t5p3",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,65,0,25,0,0,0,0,0,0,0,0,0
"s2t5p4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,95,0.5,0.5,0,0,0,0,0,0,0
"s2t5p5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,4,0,0,0,0,0,0,0
"s2t5p6",0,0,0,0,0,0,10,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
"s3t1p1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,25,0,0,0,0,0,0
"s3t1p2",0,25,0,10,0,0,0,0,0,0,0,0,5,0,0,0,20,0,0,0,0,0,0,0,0,8,0,25
"s3t1p3",0,0,0,45,4,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,4,0,10,0,0,0,0,0
"s3t1p4",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,45,0,0,0,0,0,0,0,0,35,0,0
"s3t1p5",0,30,0,30,0,0,10,0,0,0,0,0,15,0,0,0,45,0,0,0,0,0,0,0,0,0,0,2
"s3t1p6",0,0,0,0.2,8,3,0,0,0,0,0,0,0,0,0,0,30,0,65,0,0,0,0,0,0,0,0,0
"s3t2p1",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0
"s3t2p2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5,0,0,55,0,0
"s3t2p3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,10,0,0,15
"s3t2p4",0,15,0,8,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,0,0,0,0,10,0,0
"s3t2p5",0,0,0,15,10,0,0,2,0,0,0,0,0,0,0,0,25,0,0,0,2,0,0,0,0,0,0,20
"s3t2p6",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,25,0,85,0,0,0,0,0,0,0,0,0
"s3t3p1",0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"s3t3p2",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0,0,20,10,15
"s3t3p3",0,0,3,8,10,0,0,0,0,0,0,0,0,0,0,0,10,0,25,0,0,0,0,0,0,0,5,0
"s3t3p4",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0
"s3t3p5",0,0,0,50,0,0,0,0,0,0,0,0,0,0,10,0,4,0,10,0,0,0,0,0,0,0,0,0
"s3t3p6",0,0,0,35,0.5,0,0,0,0,0,0,0,0,0,45,0,0,0,25,0,0,0,0,0,0,0,0,0
"s3t4p1",0,0,5,5,8,0,0,0,0,0,0,0,0,0,0,10,0,30,0,0,3,0,0,0,0,0,8,0
"s3t4p2",0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,80,0,0,0,0,0,0,0,0,20
"s3t4p3",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,80,0,0,0,0,0,0,0,5,1
"s3t4p4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
"s3t4p5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,10
"s3t4p6",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0
"s3t5p1",0,0,0,15,10,0,0,0,0,0,0,0,0,0,15,0,0,0,25,0,0,0,0,0,0,0,0,30
"s3t5p2",0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
"s3t5p4",0,0,0,15,20,0,4,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
"s3t5p5",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,15,0,0
"s3t5p6",0,0,0,20,2,0,15,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
